no,offer date,security code,offer price,opening price,fileprice min,fileprice max,industry,founding year,trading unit,total offering,primary offering,secondary offering,over allotment,OTC dummy,market dummy,Nomura dummy,Daiwa dummy,Nikko dummy,Mizuho dummy,SBI dummy
173,20140418,3191,2700,2650,2450,2700,27,1975,100,4104600,0,3814600,290000,0,0,0,0,0,0,0
174,20140423,3192,520,760,480,520,27,1974,100,1311000,570000,570000,171000,0,1,1,0,0,0,0
175,20140423,3687,3450,9040,3350,3450,25,2002,100,142600,100000,24000,18600,0,1,0,0,0,0,0
176,20140423,9024,1600,1600,1600,1800,21,2006,100,27826000,0,27826000,0,0,0,0,0,0,1,0
177,20140522,3297,1250,1400,1050,1250,32,1984,100,410000,270000,87000,53000,0,1,0,0,0,0,0
178,20140616,7169,3320,3065,3000,3320,30,1999,100,732500,0,637000,95500,0,1,0,0,0,1,0
179,20140618,3299,1200,1320,1100,1200,32,1990,100,2990000,2300000,300000,390000,0,1,0,0,0,0,0
180,20140624,6094,2000,7000,1910,2000,33,2010,100,799200,530000,165000,104200,0,1,1,0,0,0,0
181,20140625,4247,980,1045,930,980,7,1964,100,287500,250000,0,37500,0,1,0,0,0,0,0
182,20140625,4979,4200,3936,4000,4200,7,2010,100,920000,100000,700000,120000,0,0,0,1,0,0,0
183,20140627,6096,1170,3155,1080,1170,33,2007,100,299000,100000,160000,39000,0,1,0,1,0,0,0
184,20140627,6095,4000,9250,3700,4000,33,2004,100,270200,160000,75000,35200,0,1,1,0,0,0,0
185,20140702,3688,2400,3360,2200,2400,25,1999,100,4370000,500000,3300000,570000,0,1,1,0,0,0,0
186,20140710,3193,2800,6180,2590,2800,27,1986,100,529000,300000,160000,69000,0,1,0,1,0,0,0
187,20140715,3689,1900,8400,1700,1900,25,2010,100,1371900,460000,733000,178900,0,1,1,0,0,0,0
188,20140723,6097,2200,2150,1900,2200,33,1949,100,1260000,125000,1000000,135000,0,0,0,1,0,0,0
189,20140911,7172,2550,5770,2350,2550,25,2006,100,439800,120000,262500,57300,0,1,0,0,0,0,1
190,20140917,3690,1300,5000,1200,1300,25,2001,100,394400,200000,143000,51400,0,1,1,0,0,0,0
191,20140918,3691,2530,4505,2330,2530,25,2005,100,564700,270400,220700,73600,0,1,0,1,0,0,0
192,20140919,3300,960,1555,860,960,32,2007,100,616000,296000,300000,20000,0,1,0,0,0,0,1
193,20140924,3195,1200,2630,1090,1200,27,2002,100,466900,216000,190000,60900,0,1,1,0,0,0,0
194,20140925,4591,2300,1830,2000,2300,8,2003,100,2488600,1200000,964000,324600,0,1,0,1,0,0,0
195,20140930,3196,2110,2074,2010,2110,27,1991,100,2022500,816500,942200,263800,0,1,0,1,0,0,0
196,20140930,3692,1450,4010,1340,1450,25,2007,100,382900,140000,193000,49900,0,1,1,0,0,0,0
197,20141008,6240,2800,3350,2700,2800,15,1956,100,586500,300000,210000,76500,0,0,1,0,0,0,0
198,20141009,3197,1200,1200,1200,1450,27,2011,100,62759600,4138000,51528800,7092800,0,0,1,0,0,0,0
199,20141016,6098,3100,3170,2800,3100,33,1963,100,68974100,29506200,34070000,5397900,0,0,1,0,0,0,0
200,20141021,3695,2100,4900,2000,2100,25,2002,100,520200,190000,262400,67800,0,1,0,1,0,0,0
201,20141022,3694,4000,14400,3700,4000,25,2000,100,264300,229900,0,34400,0,1,0,1,0,0,0
202,20141022,3696,1860,2890,1660,1860,25,2005,100,640000,590000,0,50000,0,1,0,0,0,0,1
203,20141030,9467,2200,4250,2100,2200,25,2000,100,1293700,675000,450000,168700,0,1,0,1,0,0,0
204,20141107,6099,1750,2980,1620,1750,33,1995,100,1169500,500000,517000,152500,0,1,1,0,0,0,0
205,20141113,3697,1300,6000,1210,1300,25,2005,100,598000,100000,420000,78000,0,1,1,0,0,0,0
206,20141126,6025,480,805,430,480,33,2001,100,287500,250000,0,37500,0,1,0,0,0,0,0
207,20141127,3698,2400,13500,2100,2400,25,2001,100,316000,110000,166000,40000,0,1,0,0,0,0,0
208,20141211,6027,1230,3880,1050,1230,33,2005,100,1288000,370000,750000,168000,0,1,1,0,0,0,0
