security code,offering date,offering price,opening price,trading unit,fileprice min,fileprice max,total offering,primary offering,secondary offering,over allotment,founding year,industry,market
6238,12月18日,3200,3220,100,3000,3200,1683600,732000,732000,219600,2006,機械,東証1部
3927,12月18日,1360,4925,100,1230,1360,575000,300000,200000,75000,2001,情報・通信業,マザーズ
3419,12月18日,420,614,100,380,420,230000,200000,0,30000,1991,卸売業,名証セントレックス
3926,12月17日,3820,4710,100,3500,3820,943000,50000,773000,120000,1997,情報・通信業,マザーズ
4595,12月17日,1100,2822,100,980,1100,374900,217500,108500,48900,1977,医薬品,JASDAQスタンダード
3925,12月15日,2190,5010,100,2030,2190,705000,200000,475000,30000,2012,情報・通信業,マザーズ
3924,12月11日,1760,3580,100,1710,1760,487000,323500,100000,63500,2015,情報・通信業,東証2部
3923,12月9日,1080,3550,100,920,1080,460000,400000,0,60000,2000,情報・通信業,マザーズ
6184,12月4日,1000,2806,100,920,1000,575000,150000,350000,75000,1984,サービス業,マザーズ
1435,12月3日,1870,3615,100,1730,1870,1253500,420000,670000,163500,2006,建設業,マザーズ
3921,11月27日,2900,14550,100,2710,2900,253000,110000,110000,33000,1992,情報・通信業,マザーズ
6183,11月20日,1555,1478,100,1500,1720,37378300,3102900,29400000,4875400,2014,サービス業,東証1部
6182,11月19日,695,3705,100,645,695,400000,347900,0,52100,1952,サービス業,マザーズ
7183,11月19日,1460,5730,100,1320,1460,240000,110000,100000,30000,2002,その他金融業,マザーズ
6178,11月4日,1400,1631,100,1100,1400,495000000,0,495000000,0,2006,サービス業,東証1部
7181,11月4日,2200,2929,100,1900,2200,66000000,0,66000000,0,2006,保険業,東証1部
7182,11月4日,1450,1680,100,1250,1450,412442300,0,412442300,0,2006,銀行業,東証1部
3418,10月28日,2500,5750,100,2350,2500,566900,255000,238000,73900,1991,小売業,マザーズ
6181,10月27日,1260,4000,100,1160,1260,662400,248000,328000,86400,2004,サービス業,マザーズ
6180,10月23日,2740,5510,100,2500,2740,539100,396000,72800,70300,2000,サービス業,マザーズ
4594,10月22日,450,414,100,450,550,14435800,6500000,6052900,1882900,2003,医薬品,マザーズ
6177,10月15日,1200,1750,100,1140,1200,1485800,178000,1114000,193800,2012,サービス業,マザーズ
6176,9月17日,450,647,100,400,450,2760000,1200000,1200000,360000,2000,サービス業,マザーズ
3920,9月15日,2920,10250,100,2840,2920,425200,160000,209800,55400,2002,情報・通信業,マザーズ
3416,9月14日,1870,2521,100,1830,1870,526300,180000,277900,68400,2005,小売業,マザーズ
1434,9月8日,540,569,100,510,540,2300000,1600000,400000,300000,1970,建設業,東証2部
1433,9月2日,2500,3125,100,2400,2500,299000,220000,40000,39000,1974,建設業,マザーズ
3415,9月2日,2870,3440,100,2770,2870,384100,119000,215000,50100,2008,小売業,マザーズ
6173,8月31日,1250,1521,100,1150,1250,340000,300000,0,40000,1995,サービス業,マザーズ
6172,8月28日,3300,3040,100,3000,3300,3003000,1152000,1578000,273000,2007,サービス業,マザーズ
3139,8月28日,1400,1400,100,1300,1400,1580100,780000,594000,206100,1998,卸売業,東証2部
6171,8月26日,1250,1220,100,1200,1250,1299500,700000,430000,169500,1985,サービス業,東証2部
3461,8月11日,1350,2302,100,1250,1350,450000,235000,165000,50000,1969,不動産業,マザーズ
1431,8月5日,800,910,100,740,800,172500,150000,0,22500,1997,建設業,福証Qボード
