no,Offer Date,security code,industry,market dummy,Nomura dummy,Daiwa dummy,Nikko dummy,Mizuho dummy,SBI dummy,offering price,opening price,trading unit,fileprice min,fileprice max,total offering,primary offering,secondary offering,over allotment,founding year
206,20141126,6025,33,1,0,0,0,0,0,480,805,100,430,480,287500,250000,0,37500,2001
207,20141127,3698,25,1,0,0,0,0,0,2400,13500,100,2100,2400,316000,110000,166000,40000,2001
208,20141211,6027,33,1,1,0,0,0,0,1230,3880,100,1050,1230,1288000,370000,750000,168000,2005
209,20141211,7816,19,1,0,0,1,0,0,2300,5390,100,2150,2300,372600,280000,44000,48600,1964
210,20141211,3452,32,1,0,0,0,0,1,2010,10500,100,1810,2010,115000,100000,0,15000,2008
211,20141211,6026,33,1,0,1,0,0,0,5800,13640,100,5000,5800,316400,100000,175200,41200,2006
212,20141212,3900,25,1,0,1,0,0,0,760,1316,100,720,760,2127500,1650000,200000,277500,2011
213,20141215,6028,33,0,1,0,0,0,0,1950,1852,100,1800,1950,27255000,0,23700000,3555000,2006
214,20141216,3198,27,0,0,0,0,1,0,1940,1620,100,1740,2040,7455000,7100000,0,355000,2010
215,20141216,3902,25,1,0,0,1,0,0,5180,12220,100,4980,5180,276600,170000,70600,36000,2003
216,20141216,3901,25,1,0,0,0,0,1,1980,3510,100,1780,1980,327200,214800,97400,15000,2001
217,20141216,9418,25,1,0,1,0,0,0,3000,3950,100,2910,3000,1564000,960000,400000,204000,2009
218,20141216,6029,33,1,1,0,0,0,0,740,1313,100,690,740,920000,700000,100000,120000,2005
219,20141217,4248,7,0,0,1,0,0,0,900,918,100,880,900,862500,445000,305000,112500,1953
220,20141217,7175,29,1,0,0,0,1,0,1350,1720,100,1150,1350,575000,500000,0,75000,1944
221,20141217,2586,4,1,0,0,1,0,0,4290,6500,100,4130,4290,253000,100000,120000,33000,2002
222,20141218,3903,25,0,1,0,0,0,0,3300,3300,100,3000,3300,13647200,1500000,10367200,1780000,2007
223,20141218,2883,4,0,0,0,0,0,0,1800,1680,100,1700,1800,1725000,700000,800000,225000,1972
224,20141218,6030,33,1,0,1,0,0,0,2500,5680,100,2300,2500,379500,330000,0,49500,2006
225,20141219,9551,20,0,1,0,0,0,0,2400,2256,100,2400,2550,11500000,10000000,0,1500000,2008
226,20141219,6031,33,1,0,0,1,0,0,2560,5780,100,2280,2560,453600,258500,136000,59100,2005
227,20141222,6032,33,1,0,1,0,0,0,1750,2043,100,1720,1750,1058000,270000,650000,138000,1999
228,20141222,9517,20,1,1,0,0,0,0,1170,1301,100,1120,1170,4600000,4000000,0,600000,1999
229,20141224,3905,25,1,0,1,0,0,0,520,900,100,460,520,2541500,850000,1360000,331500,2000
230,20141224,3221,27,1,1,0,0,0,0,2640,3415,100,2490,2640,431200,225000,150000,56200,1985
231,20141224,3199,27,0,0,0,0,1,0,640,680,100,540,640,2771500,1400000,1010000,361500,1949
232,20141225,6033,33,1,0,1,0,0,0,1400,5550,100,1320,1400,287500,250000,0,37500,2005
233,20141225,3904,25,1,0,1,0,0,0,560,1803,100,530,560,1585800,989000,390000,206800,2005
234,20141225,7815,19,0,0,0,0,0,0,2180,2005,100,1980,2180,520000,100000,360000,60000,1947
235,20141226,6034,33,1,0,1,0,0,0,800,3275,100,750,800,839500,480000,250000,109500,2000
236,20150212,6036,33,1,0,0,0,0,0,2120,3160,100,2000,2120,920000,600000,200000,120000,1993
237,20150218,6037,33,1,0,1,0,0,0,1770,2700,100,1600,1770,770500,600000,70000,100500,2005
238,20150218,3454,32,1,1,0,0,0,0,2040,2090,100,1920,2040,2875000,1300000,1200000,375000,2004
239,20150219,3906,25,1,0,0,0,0,1,2800,6040,100,2600,2800,355100,200000,108800,46300,2005
240,20150220,1384,1,0,1,0,0,0,0,460,501,100,430,460,2530000,1300000,900000,330000,1949
241,20150223,3907,25,1,0,0,0,1,0,4900,9900,100,4200,4900,632500,270000,280000,82500,1999
242,20150317,3910,25,1,0,0,0,0,0,3500,15120,100,3300,3500,161000,80000,60000,21000,1989
243,20150317,3908,25,1,0,0,1,0,0,3620,8600,100,3260,3620,187400,83400,79600,24400,2001
244,20150319,3223,27,1,0,0,0,1,0,1650,1903,100,1500,1650,290900,150000,103000,37900,2004
245,20150319,3224,27,1,0,0,1,0,0,1800,2010,100,1700,1800,439600,200000,182300,57300,2000
246,20150319,3909,25,1,1,0,0,0,0,1800,5290,100,1680,1800,345000,150000,150000,45000,1996
247,20150324,1430,3,1,0,0,0,1,0,1600,2000,100,1530,1600,738800,252500,390000,96300,2011
248,20150324,6038,33,1,1,0,0,0,0,1400,2050,100,1300,1400,1091000,350000,598700,142300,2000
249,20150324,3445,14,1,0,0,0,0,1,2750,2100,100,2550,2750,1242000,330000,750000,162000,2010
250,20150325,3131,26,1,0,0,1,0,0,2740,3075,100,2640,2740,144900,100000,26000,18900,1995
251,20150325,3457,32,1,0,0,1,0,0,3600,5300,100,3430,3600,214000,123000,63100,27900,2009
252,20150325,3911,25,1,1,0,0,0,0,920,1032,100,900,920,6440000,2400000,3200000,840000,2011
253,20150326,6039,33,1,0,0,1,0,0,1130,1630,100,1080,1130,834000,133000,592300,108700,2005
254,20150326,7813,19,1,0,1,0,0,0,3260,5550,100,3000,3260,185600,120000,41400,24200,1992
255,20150326,3912,25,1,0,0,0,0,1,1410,2812,100,1310,1410,1081000,245000,702000,134000,2001
256,20150327,3913,25,1,0,0,1,0,0,2520,4000,100,2400,2520,432500,168400,209100,55000,2007
257,20150408,4592,8,1,1,0,0,0,0,2000,1710,100,1600,2000,7475000,4000000,2500000,975000,2013
